Tipo;No_Licencia;No_Registro;NombreComercial;EmpresaImportadora;FechaEmision;UMedida;Cantidad;PaisProcedencia;PaisOrigen;AduanadeIngreso; CIF_dolares ; CIF_Q ; TimbresQ ;Exportador;Concentraciones;Componentes;VENTANILLA
PERMISOS;VIAG-32366-2026;724-234;CEGAR PLUS / LENKOR 32 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;LITROS;576;CHINA;CHINA;PUERTO QUETZAL; $3,968.64 ; Q30,404.56 ; Q1,435.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% + 8% ;GlufosinateAmmonium, Oxyfluorfen;VAI
LICENCIAS;VIAG-32367-2026;779-F-8017-21;SULFATO DE MAGNESIO HEPTAHIDRATADO;NOVEDADES E INNOVADORA AGROQUIMICOS, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;400000;CHINA;CHINA;PUERTO QUETZAL; $69,600.00 ; Q528.68 ; Q765.00 ;STAR GRACE AGRICULTURE CO., LTD. - China                                             ;16% + 13% ;MgO, S;VAI
PERMISOS;VIAG-32368-2026;396-164;KOCIDE / KOCIDE ADVANCED 35 WG;DUWEST GUATEMALA SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;4000;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO BARRIOS; $37,800.00 ; Q289,860.61 ; Q521.00 ;Duwest Inc - Estados Unidos                                    ;53.8% ;COPPERHIDROXIDE/METALLICCOPPER35%;VAI
PERMISOS;VIAG-32369-2026;1315-4;FUMINAT 80 SL;ECOLOGIKA DE GUATEMALA, S.A.;20/01/2026;LITROS;804;HONDURAS;HONDURAS;EL FLORIDO; $7,444.41 ; Q57,039.81 ; Q165.00 ;CHEMEXC S DE RL - Honduras                                          ;80% ;Liquidambarstyracifluaextract;VAI
PERMISOS;VIAG-32370-2026;1315-1;PIREX 6 EC;ECOLOGIKA DE GUATEMALA, S.A.;20/01/2026;LITROS;240;HONDURAS;HONDURAS;EL FLORIDO; $2,266.99 ; Q17,369.90 ; Q85.00 ;CHEMEXC S DE RL - Honduras                                          ;6% ;EXTRACTODECRISANTEMO;VAI
PERMISOS;VIAG-32371-2026;1315-9;M.E. 17.4 SP;ECOLOGIKA DE GUATEMALA, S.A.;20/01/2026;KILOGRAMOS;288;HONDURAS;HONDURAS;EL FLORIDO; $6,572.39 ; Q50,358.31 ; Q151.00 ;CHEMEXC S DE RL - Honduras                                          ;17.4% ;ExtractodeUrticadioica;VAI
LICENCIAS;VIAG-32372-2026;1315-SAF-766-104;MICOROOT;ECOLOGIKA DE GUATEMALA, S.A.;20/01/2026;KILOGRAMOS;150;HONDURAS;HONDURAS;EL FLORIDO; $1,377.87 ; Q10,557.38 ; Q72.00 ;CHEMEXC S DE RL - HONDURAS                                          ;2% + 5% + 5% + 4% ;AZOSPIRILLUMBRASILENSE(EQUIVALENTEA7.0X10^11UFC/ML), EXTRACTODEALGASMARINAS(ASCOPHYLLUMNODOSUM), EXTRACTODELEVADURAS, GLOMUSINTRARADICES(EQUIVALENTEA75,000PROPAGULOS/KG.);VAI
PERMISOS;VIAG-32373-2026;1315-8;M.A. 17.5 SP;ECOLOGIKA DE GUATEMALA, S.A.;20/01/2026;KILOGRAMOS;72;HONDURAS;HONDURAS;EL FLORIDO; $1,643.10 ; Q12,589.60 ; Q76.00 ;CHEMEXC S DE RL - Honduras                                          ;17.5% ;ExtractodeQuassiaamara;VAI
PERMISOS;VIAG-32374-2026;1315-11;NEMAKLIN 7.5 SP;ECOLOGIKA DE GUATEMALA, S.A.;20/01/2026;KILOGRAMOS;12;HONDURAS;HONDURAS;EL FLORIDO; $273.85 ; Q2,098.27 ; Q20.00 ;CHEMEXC S DE RL - Honduras                                          ;7.5% ;EXTRACTODETagetespatula;VAI
LICENCIAS;VIAG-32375-2026;780-SAF-348-29;HUMAX S;NUTRIENTES Y FERTILIZANTES SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;900;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO QUETZAL; $8,140.34 ; Q62,372.10 ; Q176.00 ;JH BIOTECH, INC - ESTADOS UNIDOS                                    ;80.6% + 12% ;ACIDOSHUMICOS, K2O;VAI
PERMISOS;VIAG-32376-2026;780-4;GC-MITE 70 EC;NUTRIENTES Y FERTILIZANTES SOCIEDAD ANONIMA;20/01/2026;LITROS;908.4;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO QUETZAL; $11,250.87 ; Q86,205.29 ; Q223.00 ;JH BIOTECH - Estados Unidos                                    ;10% + 20% + 40% ;Aceitedeajo(Alliumsativum), ACEITEDECLAVODEOLOR(Syzygiumaromaticum), Aceitedesemilladealgodón(GossypiumhirsutumL.);VAI
PERMISOS;VIAG-32377-2026;780-4;GC-MITE 70 EC;NUTRIENTES Y FERTILIZANTES SOCIEDAD ANONIMA;20/01/2026;LITROS;1440;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO QUETZAL; $21,363.42 ; Q163,688.66 ; Q395.00 ;JH BIOTECH - Estados Unidos                                    ;10% + 20% + 40% ;Aceitedeajo(Alliumsativum), ACEITEDECLAVODEOLOR(Syzygiumaromaticum), Aceitedesemilladealgodón(GossypiumhirsutumL.);VAI
LICENCIAS;VIAG-32378-2026;780-F-6338-29;Biomin Potasio;NUTRIENTES Y FERTILIZANTES SOCIEDAD ANONIMA;20/01/2026;LITROS;908.4;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;PUERTO QUETZAL; $4,976.86 ; Q38,133.20 ; Q127.00 ;JH Biotech, Inc - Estados Unidos                                    ;15.849% + 32.33% ;Aminoacidos, K2O;VAI
PERMISOS;VIAG-32380-2026;_937-24-8;TACHIGAREN  36  SL;PROMOCIONES AGRICOLAS INDUSTRIALES Y COMERCIALES SOCIEDAD ANONIMA;20/01/2026;LITROS;1000;JAPON;JAPON;PUERTO QUETZAL; $43,944.00 ; Q336,703.32 ; Q568.00 ;Agro Trading Corporation S.A. - Japón                                             ;36% ;HYMEXAZOL;VAI
LICENCIAS;VIAG-32381-2026;_786-SAF-325-57-4;BIOZYME TF;ARYSTA LIFESCIENCE DE GUATEMALA, SOCIEDAD ANONIMA;20/01/2026;LITROS;14400;MEXICO;MEXICO;TECUN UMAN; $77,019.12 ; Q590,603.41 ; Q822.00 ;Grupo Bioquímico Mexicano S.A. de C.V. - México                                            ;0.33% + 78.87% + 0.54% + 0.26% + 0.13% + 0.8% + 0.04% ;B, ExtractosVegetales, Fe, MgO, Mn, S, Zn;VAI
PERMISOS;VIAG-32382-2026;724-45;ATRAZINA 90 WG;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;17280;CHINA;CHINA;PUERTO QUETZAL; $79,660.80 ; Q610,860.52 ; Q842.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;90% ;Atrazine;VAI
LICENCIAS;VIAG-32383-2026;_786-F-7702-57-1;GROFOL 7-25-0;ARYSTA LIFESCIENCE DE GUATEMALA, SOCIEDAD ANONIMA;20/01/2026;LITROS;15000;MEXICO;MEXICO;TECUN UMAN; $30,603.56 ; Q234,676.36 ; Q466.00 ;Grupo Bioquímico Mexicano S.A. de C.V. - México                                            ;0% + 8.67% + 30.95% ;K2O, N, P2O5;VAI
LICENCIAS;VIAG-32384-2026;650-F-8321-120;SULFATO DE POTASIO (SOP);DISAGRO DE GUATEMALA, SOCIEDAD ANONIMA;20/01/2026;KILOGRAMOS;200000;LETONIA;UZBEKISTAN;PUERTO QUETZAL; $146,798.00 ; Q1,125,686.70 ; Q1,243.00 ;INCOFE S.A.S. - Letonia                                           ;50% + 17% ;K2O, S;VAI
PERMISOS;VIAG-32385-2026;_84-26A-37;HEDOMINA 72 SL;NEGOCIOS RELACIONADOS, S.A.;20/01/2026;LITROS;8604;CHINA;CHINA;PUERTO QUETZAL; $23,230.80 ; Q178,068.50 ; Q409.00 ;BESTENFELDEN PANAMÁ S.A. - China                                             ;72% ;2,4-D;VAI
PERMISOS;VIAG-32386-2026;898-19A;Bumper 25 EC;ADAMA GUATEMALA, SOCIEDAD ANONIMA;21/01/2026;LITROS;800;COLOMBIA;COLOMBIA;SANTO TOMAS DE CASTILLA; $9,655.21 ; Q74,013.65 ; Q199.00 ;Adama Andina B.V. Sucursal Colombia - Colombia                                          ;25% ;PROPICONAZOLE;VAI
LICENCIAS;VIAG-32387-2026;_1299-F-6170-28-2;TRADECORP AZ;TECNICA UNIVERSAL SOCIEDAD ANONIMA;21/01/2026;KILOGRAMOS;720;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $8,028.00 ; Q61.35 ; Q174.00 ;TRADE CORPORATION INTERNATIONAL, S.A.U. - España                                            ;0.65% + 0.28% + 7.5% + 3.5% + 0.3% + 0.7% ;B, CU(EDTA), FE(EDTA), MN(EDTA), MO, ZN(EDTA);VAI
LICENCIAS;VIAG-32388-2026;_1299-SAF-455-28-2;DELFAN PLUS;TECNICA UNIVERSAL SOCIEDAD ANONIMA;21/01/2026;LITROS;720;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $7,552.80 ; Q53.68 ; Q167.00 ;TRADE CORPORATION INTERNATIONAL, S.A.U. - ESPAÑA                                            ;29.76% ;AMINOACIDOSLIBRES;VAI
LICENCIAS;VIAG-32389-2026;_1299-F-6082-28-2;RUTER AA;TECNICA UNIVERSAL SOCIEDAD ANONIMA;21/01/2026;LITROS;720;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $5,616.00 ; Q38.34 ; Q137.00 ;TRADE CORPORATION INTERNATIONAL, S.A.U. - España                                            ;8.4% + 0.05% + 4.2% + 0.06% + 0.12% + 4.8% + 6% + 0.08% ;Aminoacidoslibres, Fe(EDDHA), K2O, Mn(EDTA), Mo, N, P2O5, Zn(EDTA);VAI
PERMISOS;VIAG-32390-2026;33-346;Sencor 48 SC;BAYER, SOCIEDAD ANONIMA;21/01/2026;LITROS;6000;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $83,820.00 ; Q642,237.22 ; Q874.00 ;Bayer AG - Estados Unidos                                    ;48% ;METRIBUZIN;VAI
PERMISOS;VIAG-32391-2026;33-487;ALIETTE 80 WG;BAYER, SOCIEDAD ANONIMA;21/01/2026;KILOGRAMOS;12000;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $140,400.00 ; Q1,075,758.84 ; Q1,238.00 ;Bayer AG - Estados Unidos                                    ;80% ;Fosetyl-Aluminio;VAI
LICENCIAS;VIAG-32392-2026;_1299-F-5985-28-2;FLORASTART;TECNICA UNIVERSAL SOCIEDAD ANONIMA;21/01/2026;KILOGRAMOS;720;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $18,432.00 ; Q138.03 ; Q372.00 ;TRADE CORPORATION INTERNATIONAL, S.A.U. - España                                            ;5% + 8% + 12.6% + 10% + 0.65% + 9.5% ;Aminoacidoslibres, B, K2O, Mo, N, P2O5;VAI
LICENCIAS;VIAG-32393-2026;_1299-SAF-510-28-2;HUMISTAR WG;TECNICA UNIVERSAL SOCIEDAD ANONIMA;21/01/2026;KILOGRAMOS;720;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $8,632.80 ; Q61.35 ; Q183.00 ;TRADE CORPORATION INTERNATIONAL, S.A.U. - España                                            ;100% ;Leonardita;VAI
LICENCIAS;VIAG-32394-2026;_1299-SAF-397-28-2;PHYLGREEN WAVE;TECNICA UNIVERSAL SOCIEDAD ANONIMA;21/01/2026;KILOGRAMOS;720;ESPAÑA;ESPAÑA;SANTO TOMAS DE CASTILLA; $6,480.00 ; Q46.01 ; Q150.00 ;TRADE CORPORATION INTERNATIONAL, S.A.U. - España                                            ;100% ;Extractodealgas(Ascophyllumnodosum);VAI
PERMISOS;VIAG-32395-2026;33-346;Sencor 48 SC;BAYER, SOCIEDAD ANONIMA;21/01/2026;LITROS;1000;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $13,970.00 ; Q107,039.54 ; Q338.00 ;Bayer AG - Estados Unidos                                    ;48% ;METRIBUZIN;VAI
LICENCIAS;VIAG-32396-2026;668-F-2748-28;SOLUCAT 10-52-10;ATLANTICA AGRICOLA DE GUATEMALA, SOCIEDAD ANONIMA;21/01/2026;KILOGRAMOS;18875;ESPAÑA;ESPAÑA;PUERTO BARRIOS; $32,721.00 ; Q250,806.46 ; Q482.00 ;Atlántica Agrícola S.A. - España                                            ;0.01% + 0.002% + 0.02% + 10% + 0.01% + 10% + 52% + 0.002% ;B, CU(EDTA), FE(EDTA), K2O, MN(EDTA), N, P2O5, ZN(EDTA);VAI
LICENCIAS;VIAG-32397-2026;668-F-3061-28;Raykat Engorde;ATLANTICA AGRICOLA DE GUATEMALA, SOCIEDAD ANONIMA;21/01/2026;LITROS;1620;ESPAÑA;ESPAÑA;PUERTO BARRIOS; $13,587.10 ; Q104,145.12 ; Q335.00 ;Atlántica Agrícola S.A. - España                                            ;4.8% + 0.12% + 8.4% + 0.084% + 0.012% + 1.8% + 0.024% ;Aminoacidoslibres, Fe(EDDHA), K2O, Mn(EDTA), Mo, N, Zn;VAI
PERMISOS;VIAG-32398-2026;78-106;BREAK THRU 100 SL;BASF DE GUATEMALA  SOCIEDAD ANONIMA;21/01/2026;LITROS;312;COSTA RICA;ESTADOS UNIDOS DE AMERICA;PEDRO DE ALVARADO; $5,341.44 ; Q40,959.60 ; Q133.00 ;Basf de Costa Rica S.A. - Costa Rica                                        ;100% ;POLYETHER-POLYMETHYLSILOXANOCOPOLYMER;VAI
PERMISOS;VIAG-32399-2026;84-14A;AMETRINA 50 SC;BESTENFELDEN GUATEMALA, SOCIEDAD ANONIMA;21/01/2026;LITROS;16320;CHINA;CHINA;PUERTO QUETZAL; $48,960.00 ; Q375,438.50 ; Q607.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;50% ;Ametryn;VAI
PERMISOS;VIAG-32400-2026;1239-4;INQUIGRASS 35.6 SL;EL COLONO AGROPECUARIO, SOCIEDAD ANONIMA;21/01/2026;LITROS;14976;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $30,700.80 ; Q235,321.63 ; Q466.00 ;Distribuidora Inquisa S.A. - Costa Rica                                        ;35.6% ;GLYPHOSATE;VAI
PERMISOS;VIAG-32401-2026;724-151;Recorte 20 EC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;22/01/2026;LITROS;2000;CHINA;CHINA;PUERTO QUETZAL; $11,500.00 ; Q88,147.50 ; Q227.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;20% ;FLUROXIPIR;VAI
PERMISOS;VIAG-32402-2026;724-234;CEGAR PLUS / LENKOR 32 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;22/01/2026;LITROS;1600;CHINA;CHINA;PUERTO QUETZAL; $9,600.00 ; Q73,584.00 ; Q198.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% + 8% ;GlufosinateAmmonium, Oxyfluorfen;VAI
PERMISOS;VIAG-32403-2026;724-31;Milor 72 WP;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;22/01/2026;KILOGRAMOS;1250;CHINA;CHINA;PUERTO QUETZAL; $7,600.00 ; Q58,254.00 ; Q167.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;64% + 8% ;Mancozeb, Metalaxil;VAI
PERMISOS;VIAG-32404-2026;724-52;GLUFOSINATO DE AMONIO / CEGAR 15 SL;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;22/01/2026;LITROS;16000;CHINA;CHINA;PUERTO QUETZAL; $34,880.00 ; Q267,355.20 ; Q498.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;15% ;GlufosinateAmmonium;VAI
PERMISOS;VIAG-32405-2026;724-264;KILLIGAN 24 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;22/01/2026;LITROS;576;CHINA;CHINA;PUERTO QUETZAL; $8,294.40 ; Q63,576.58 ; Q178.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% ;Chlorfenapyr;VAI
PERMISOS;VIAG-32406-2026;724-264;KILLIGAN 24 SC;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;22/01/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $11,289.60 ; Q86,534.78 ; Q224.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;24% ;Chlorfenapyr;VAI
PERMISOS;VIAG-32407-2026;668-5;SAVON 50 EC;ATLANTICA AGRICOLA DE GUATEMALA, SOCIEDAD ANONIMA;23/01/2026;LITROS;4080;HONDURAS;HONDURAS;CORINTO; $20,863.71 ; Q159,988.56 ; Q391.00 ;Bio Atlantica S. de  R.L. - Honduras                                          ;50% ;SALESPOTASICASACIDOSGRASOS;VAI
LICENCIAS;VIAG-32408-2026;946-F-4984-21;NITRATO DE CALCIO AMONIO GRANULAR SOLUBLE/ NITRATO DE CALCIO / NITRATO DE CALCIO GRANULAR SOLUBLE;BIOSKA, SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;525000;CHINA;CHINA;PUERTO QUETZAL; $138,075.00 ; Q1,058,750.82 ; Q1,237.00 ;NPK Trading Corporation - China                                             ;26% + 15.5% ;CaO, N;VAI
LICENCIAS;VIAG-32409-2026;946-F-4726-21;Sulfato de Magnesio Heptahidratado;BIOSKA, SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;400000;CHINA;CHINA;PUERTO QUETZAL; $74,400.00 ; Q570,494.74 ; Q802.00 ;JM FERTILIZER - China                                             ;16.2% + 12% ;MgO, S;VAI
PERMISOS;VIAG-32410-2026;_479-164-2;CURZATE M 72 WP;DUWEST GUATEMALA SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;14000;COLOMBIA;COLOMBIA;SANTO TOMAS DE CASTILLA; $184,100.00 ; Q1,411,682.48 ; Q1,272.00 ;Duwest Inc - Colombia                                          ;8% + 64% ;Cymoxanil, Mancozeb;VAI
PERMISOS;VIAG-32411-2026;_1299-4-5;MANCOZEB TECNICO;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;24000;BULGARIA;BULGARIA;PUERTO BARRIOS; $83,520.00 ; Q639,966.99 ; Q872.00 ;Agria , S.A - Bulgaria                                          ;87% ;Mancozeb;VAI
PERMISOS;VIAG-32412-2026;_84-26A-37;HEDOMINA 72 SL;NEGOCIOS RELACIONADOS, S.A.;23/01/2026;LITROS;5400;CHINA;CHINA;PUERTO QUETZAL; $14,508.00 ; Q111,251.26 ; Q342.00 ;BESTENFELDEN PANAMÁ S.A. - China                                             ;72% ;2,4-D;VAI
PERMISOS;VIAG-32413-2026;_1362-4-5;HARVESTOL 12(84EC);AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;23816;ESTADOS UNIDOS DE AMERICA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $23,101.50 ; Q177,148.54 ; Q408.00 ;LUB LINE DE MEXICO - Estados Unidos                                    ;84% ;ACEITEMINERALPARAFINICO;VAI
PERMISOS;VIAG-32414-2026;264-EQ-151;GLUFOSINATO DE AMONIO TÉCNICO;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;20000;CHINA;CHINA;PUERTO QUETZAL; $135,200.00 ; Q1,036,750.10 ; Q1,234.00 ;Korsa Chemicals, S.A. - China                                             ;96.5% ;GLUFOSINATODEAMONIO;VAI
PERMISOS;VIAG-32415-2026;_724-EQ-57-7;PICLORAM TÉCNICO 96%;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;20000;CHINA;CHINA;PUERTO QUETZAL; $246,800.00 ; Q1,892,529.04 ; Q1,320.00 ;Korsa Chemicals, S.A. - China                                             ;96% ;PICLORAM;VAI
PERMISOS;VIAG-32416-2026;264-EQ-135;Dicloruro de Paraquat 45 TK;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;131564.61;CHINA;CHINA;PUERTO QUETZAL; $449,280.00 ; Q3,445,200.35 ; Q1,476.00 ;Korsa Chemicals, S.A. - China                                             ;45% ;PARAQUAT;VAI
PERMISOS;VIAG-32417-2026;33-451;SPIROXAMINE TECNICO;BAYER, SOCIEDAD ANONIMA;23/01/2026;LITROS;18000;ALEMANIA;ALEMANIA;PUERTO BARRIOS; $155,179.80 ; Q1,189,960.60 ; Q1,250.00 ;Bayer AG - Alemania                                          ;95% ;Spiroxamine;VAI
PERMISOS;VIAG-32418-2026;264-EQ-102;Carbendazim Tecnico;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;2200;CHINA;CHINA;PUERTO QUETZAL; $13,442.00 ; Q103,076.89 ; Q334.00 ;Korsa Chemicals, S.A. - China                                             ;98% ;CARBENDAZIM;VAI
PERMISOS;VIAG-32419-2026;33-662;FLUOPYRAM TECNICO;BAYER, SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;2000;ALEMANIA;ALEMANIA;SANTO TOMAS DE CASTILLA; $306,000.00 ; Q2,346,490.62 ; Q1,366.00 ;Bayer AG - Alemania                                          ;96.5% ;Fluopyram;VAI
PERMISOS;VIAG-32420-2026;264-169;CONDENA EXTRA 55 SC;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;12000;CHINA;CHINA;PUERTO QUETZAL; $44,760.00 ; Q343,231.77 ; Q574.00 ;Korsa Chemicals, S.A. - China                                             ;50% + 5% ;ATRAZINE, MESOTRIONE;VAI
PERMISOS;VIAG-32421-2026;264-131;GERMIBIEN 35 FS;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $14,656.32 ; Q112,388.62 ; Q343.00 ;Korsa Chemicals, S.A. - China                                             ;35% ;Thiodicarb;VAI
PERMISOS;VIAG-32422-2026;264-131;GERMIBIEN 35 FS;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;5500;CHINA;CHINA;PUERTO QUETZAL; $86,075.00 ; Q660,046.34 ; Q892.00 ;Korsa Chemicals, S.A. - China                                             ;35% ;Thiodicarb;VAI
LICENCIAS;VIAG-32423-2026;1197-F-4558-18;Black Gold;TILAWA GUATEMALA, S.A.;23/01/2026;LITROS;10000;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $46,899.00 ; Q359,634.19 ; Q591.00 ;Tilawa Agro DM, S.A. - Costa Rica                                        ;4.3% + 0.04% + 2.6% + 36.4% + 0.65% + 2.52% + 1.3% + 0.4% ;CaO, Fe, K2O, MateriaOrganica, MgO, N, P2O5, S;VAI
PERMISOS;VIAG-32424-2026;_724-106-20;SABOTAJE 16 EW;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;4600;CHINA;CHINA;PUERTO QUETZAL; $39,146.00 ; Q300,182.10 ; Q531.00 ;Korsa Chemicals, S.A. - China                                             ;8% + 8% ;FLUROXYPYR, PICLORAM;VAI
PERMISOS;VIAG-32425-2026;_724-242-4;PITBUL  28  SC;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;LITROS;1008;CHINA;CHINA;PUERTO QUETZAL; $40,219.20 ; Q308,411.68 ; Q539.00 ;Korsa Chemicals, S.A. - China                                             ;4% + 24% ;Abamectin, Spirotetramat;VAI
PERMISOS;VIAG-32426-2026;_724-EQ-85-6;DIBROMURO   DE  DIQUAT TECNICO;AGROCENTRO SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;10560;CHINA;CHINA;PUERTO QUETZAL; $27,772.80 ; Q212,969.33 ; Q444.00 ;Korsa Chemicals, S.A. - China                                             ;41% ;DIQUATDIBROMIDE;VAI
PERMISOS;VIAG-32427-2026;724-31;Milor 72 WP;RAINBOW AGROSCIENCES (GUATEMALA) SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;500;CHINA;CHINA;PUERTO QUETZAL; $3,545.00 ; Q27,172.42 ; Q105.00 ;Rainbow Agrosciences (Central America) Co., Ltd - China                                             ;64% + 8% ;Mancozeb, Metalaxil;VAI
PERMISOS;VIAG-32428-2026;84-14A;AMETRINA 50 SC;BESTENFELDEN GUATEMALA, SOCIEDAD ANONIMA;23/01/2026;LITROS;44000;CHINA;CHINA;PUERTO QUETZAL; $121,880.00 ; Q934,568.53 ; Q1,130.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;50% ;Ametryn;VAI
PERMISOS;VIAG-32429-2026;_752-344-1;ATAJO 15 SL;AGROFORTRESS, SOCIEDAD ANONIMA;23/01/2026;LITROS;7200;CHINA;CHINA;PUERTO QUETZAL; $16,560.00 ; Q126,986.55 ; Q358.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;15% ;GLUFOSINATE-P;VAI
PERMISOS;VIAG-32430-2026;1239-2;BANAZEB 60 SC;EL COLONO AGROPECUARIO, SOCIEDAD ANONIMA;23/01/2026;LITROS;18000;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $72,000.00 ; Q552,091.68 ; Q784.00 ;Distribuidora Inquisa S.A. - Costa Rica                                        ;60% ;MANCOZEB;VAI
PERMISOS;VIAG-32431-2026;894-42A;SURANO / BINARE 50 SC;AGRO-CHILE, SOCIEDAD ANONIMA;23/01/2026;LITROS;13000;CHINA;CHINA;PUERTO QUETZAL; $130,000.00 ; Q996,842.60 ; Q1,130.00 ;Anasac International Corporation, S.A. - China                                             ;10% + 40% ;Difenoconazole, Pyrimethanil;VAI
PERMISOS;VIAG-32432-2026;_479-159A-2;ZORVEC  ENCANTIA 33 SE;DUWEST GUATEMALA SOCIEDAD ANONIMA;23/01/2026;LITROS;499.2;COLOMBIA;ESTADOS UNIDOS DE AMERICA;SANTO TOMAS DE CASTILLA; $63,215.80 ; Q484,740.02 ; Q716.00 ;DUWEST INC. - Colombia                                          ;30% + 3% ;Famoxadone, Oxathiapiprolin;VAI
PERMISOS;VIAG-32433-2026;_84-98-11;GUERRERO 35.6  SL;NEGOCIOS RELACIONADOS, S.A.;23/01/2026;LITROS;10008;CHINA;CHINA;PUERTO QUETZAL; $25,520.40 ; Q195,688.90 ; Q427.00 ;TAHUAL AGRICOLA, S.A. - China                                             ;35.6% ;Glifosato;VAI
PERMISOS;VIAG-32434-2026;1239-7;BANAZEB 43.5 SC;EL COLONO AGROPECUARIO, SOCIEDAD ANONIMA;23/01/2026;LITROS;3240;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $8,748.00 ; Q67,079.14 ; Q185.00 ;Distribuidora Inquisa S.A. - Costa Rica                                        ;43.5% ;Mancozeb;VAI
PERMISOS;VIAG-32435-2026;1239-6;BANAZEB 80 WP;EL COLONO AGROPECUARIO, SOCIEDAD ANONIMA;23/01/2026;KILOGRAMOS;1600;COSTA RICA;COSTA RICA;PEDRO DE ALVARADO; $7,728.00 ; Q59,257.84 ; Q169.00 ;Distribuidora Inquisa S.A. - Costa Rica                                        ;80% ;Mancozeb;VAI
